JMP : F5 C5    A: 00 X: 00 Y: 00 PC: C000 S: FD 
LDX : 00       A: 00 X: 00 Y: 00 PC: C5F5 S: FD 
STX : 00       A: 00 X: 00 Y: 00 PC: C5F7 S: FD 
STX : 10       A: 00 X: 00 Y: 00 PC: C5F9 S: FD 
STX : 11       A: 00 X: 00 Y: 00 PC: C5FB S: FD 
JSR : 2D C7    A: 00 X: 00 Y: 00 PC: C5FD S: FD 
NOP :          A: 00 X: 00 Y: 00 PC: C72D S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C72E S: FB 
BCS : 04       A: 00 X: 00 Y: 00 PC: C72F S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C735 S: FB 
CLC :          A: 00 X: 00 Y: 00 PC: C736 S: FB 
BCS : 03       A: 00 X: 00 Y: 00 PC: C737 S: FB 
JMP : 40 C7    A: 00 X: 00 Y: 00 PC: C739 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C740 S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C741 S: FB 
BCC : 03       A: 00 X: 00 Y: 00 PC: C742 S: FB 
JMP : 4B C7    A: 00 X: 00 Y: 00 PC: C744 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C74B S: FB 
CLC :          A: 00 X: 00 Y: 00 PC: C74C S: FB 
BCC : 04       A: 00 X: 00 Y: 00 PC: C74D S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C753 S: FB 
LDA : 00       A: 00 X: 00 Y: 00 PC: C754 S: FB 
BEQ : 04       A: 00 X: 00 Y: 00 PC: C756 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C75C S: FB 
LDA : 40       A: 00 X: 00 Y: 00 PC: C75D S: FB 
BEQ : 03       A: 40 X: 00 Y: 00 PC: C75F S: FB 
JMP : 68 C7    A: 40 X: 00 Y: 00 PC: C761 S: FB 
NOP :          A: 40 X: 00 Y: 00 PC: C768 S: FB 
LDA : 40       A: 40 X: 00 Y: 00 PC: C769 S: FB 
BNE : 04       A: 40 X: 00 Y: 00 PC: C76B S: FB 
NOP :          A: 40 X: 00 Y: 00 PC: C771 S: FB 
LDA : 00       A: 40 X: 00 Y: 00 PC: C772 S: FB 
BNE : 03       A: 00 X: 00 Y: 00 PC: C774 S: FB 
JMP : 7D C7    A: 00 X: 00 Y: 00 PC: C776 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C77D S: FB 
LDA : FF       A: 00 X: 00 Y: 00 PC: C77E S: FB 
STA : 01       A: FF X: 00 Y: 00 PC: C780 S: FB 
BIT : 01       A: FF X: 00 Y: 00 PC: C782 S: FB 
BVS : 04       A: FF X: 00 Y: 00 PC: C784 S: FB 
NOP :          A: FF X: 00 Y: 00 PC: C78A S: FB 
BIT : 01       A: FF X: 00 Y: 00 PC: C78B S: FB 
BVC : 03       A: FF X: 00 Y: 00 PC: C78D S: FB 
JMP : 96 C7    A: FF X: 00 Y: 00 PC: C78F S: FB 
NOP :          A: FF X: 00 Y: 00 PC: C796 S: FB 
LDA : 00       A: FF X: 00 Y: 00 PC: C797 S: FB 
STA : 01       A: 00 X: 00 Y: 00 PC: C799 S: FB 
BIT : 01       A: 00 X: 00 Y: 00 PC: C79B S: FB 
BVC : 04       A: 00 X: 00 Y: 00 PC: C79D S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C7A3 S: FB 
BIT : 01       A: 00 X: 00 Y: 00 PC: C7A4 S: FB 
BVS : 03       A: 00 X: 00 Y: 00 PC: C7A6 S: FB 
JMP : AF C7    A: 00 X: 00 Y: 00 PC: C7A8 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C7AF S: FB 
LDA : 00       A: 00 X: 00 Y: 00 PC: C7B0 S: FB 
BPL : 04       A: 00 X: 00 Y: 00 PC: C7B2 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C7B8 S: FB 
LDA : 80       A: 00 X: 00 Y: 00 PC: C7B9 S: FB 
BPL : 03       A: 80 X: 00 Y: 00 PC: C7BB S: FB 
JMP : D9 C7    A: 80 X: 00 Y: 00 PC: C7BD S: FB 
NOP :          A: 80 X: 00 Y: 00 PC: C7D9 S: FB 
RTS :          A: 80 X: 00 Y: 00 PC: C7DA S: FB 
JSR : DB C7    A: 80 X: 00 Y: 00 PC: C600 S: FD 
NOP :          A: 80 X: 00 Y: 00 PC: C7DB S: FB 
LDA : FF       A: 80 X: 00 Y: 00 PC: C7DC S: FB 
STA : 01       A: FF X: 00 Y: 00 PC: C7DE S: FB 
BIT : 01       A: FF X: 00 Y: 00 PC: C7E0 S: FB 
LDA : 00       A: FF X: 00 Y: 00 PC: C7E2 S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C7E4 S: FB 
SEI :          A: 00 X: 00 Y: 00 PC: C7E5 S: FB 
SED :          A: 00 X: 00 Y: 00 PC: C7E6 S: FB 
PHP :          A: 00 X: 00 Y: 00 PC: C7E7 S: FB 
PLA :          A: 00 X: 00 Y: 00 PC: C7E8 S: FA 
AND : EF       A: 7F X: 00 Y: 00 PC: C7E9 S: FB 
CMP : 6F       A: 6F X: 00 Y: 00 PC: C7EB S: FB 
BEQ : 04       A: 6F X: 00 Y: 00 PC: C7ED S: FB 
NOP :          A: 6F X: 00 Y: 00 PC: C7F3 S: FB 
LDA : 40       A: 6F X: 00 Y: 00 PC: C7F4 S: FB 
STA : 01       A: 40 X: 00 Y: 00 PC: C7F6 S: FB 
BIT : 01       A: 40 X: 00 Y: 00 PC: C7F8 S: FB 
CLD :          A: 40 X: 00 Y: 00 PC: C7FA S: FB 
LDA : 10       A: 40 X: 00 Y: 00 PC: C7FB S: FB 
CLC :          A: 10 X: 00 Y: 00 PC: C7FD S: FB 
PHP :          A: 10 X: 00 Y: 00 PC: C7FE S: FB 
PLA :          A: 10 X: 00 Y: 00 PC: C7FF S: FA 
AND : EF       A: 74 X: 00 Y: 00 PC: C800 S: FB 
CMP : 64       A: 64 X: 00 Y: 00 PC: C802 S: FB 
BEQ : 04       A: 64 X: 00 Y: 00 PC: C804 S: FB 
NOP :          A: 64 X: 00 Y: 00 PC: C80A S: FB 
LDA : 80       A: 64 X: 00 Y: 00 PC: C80B S: FB 
STA : 01       A: 80 X: 00 Y: 00 PC: C80D S: FB 
BIT : 01       A: 80 X: 00 Y: 00 PC: C80F S: FB 
SED :          A: 80 X: 00 Y: 00 PC: C811 S: FB 
LDA : 00       A: 80 X: 00 Y: 00 PC: C812 S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C814 S: FB 
PHP :          A: 00 X: 00 Y: 00 PC: C815 S: FB 
PLA :          A: 00 X: 00 Y: 00 PC: C816 S: FA 
AND : EF       A: 3F X: 00 Y: 00 PC: C817 S: FB 
CMP : 2F       A: 2F X: 00 Y: 00 PC: C819 S: FB 
BEQ : 04       A: 2F X: 00 Y: 00 PC: C81B S: FB 
NOP :          A: 2F X: 00 Y: 00 PC: C821 S: FB 
LDA : FF       A: 2F X: 00 Y: 00 PC: C822 S: FB 
PHA :          A: FF X: 00 Y: 00 PC: C824 S: FB 
PLP :          A: FF X: 00 Y: 00 PC: C825 S: FA 
BNE : 09       A: FF X: 00 Y: 00 PC: C826 S: FB 
BPL : 07       A: FF X: 00 Y: 00 PC: C828 S: FB 
BVC : 05       A: FF X: 00 Y: 00 PC: C82A S: FB 
BCC : 03       A: FF X: 00 Y: 00 PC: C82C S: FB 
JMP : 35 C8    A: FF X: 00 Y: 00 PC: C82E S: FB 
NOP :          A: FF X: 00 Y: 00 PC: C835 S: FB 
LDA : 04       A: FF X: 00 Y: 00 PC: C836 S: FB 
PHA :          A: 04 X: 00 Y: 00 PC: C838 S: FB 
PLP :          A: 04 X: 00 Y: 00 PC: C839 S: FA 
BEQ : 09       A: 04 X: 00 Y: 00 PC: C83A S: FB 
BMI : 07       A: 04 X: 00 Y: 00 PC: C83C S: FB 
BVS : 05       A: 04 X: 00 Y: 00 PC: C83E S: FB 
BCS : 03       A: 04 X: 00 Y: 00 PC: C840 S: FB 
JMP : 49 C8    A: 04 X: 00 Y: 00 PC: C842 S: FB 
NOP :          A: 04 X: 00 Y: 00 PC: C849 S: FB 
SED :          A: 04 X: 00 Y: 00 PC: C84A S: FB 
LDA : FF       A: 04 X: 00 Y: 00 PC: C84B S: FB 
