JMP : F5 C5    A: 00 X: 00 Y: 00 PC: C000 S: FD Cycle: 0 
LDX : 00       A: 00 X: 00 Y: 00 PC: C5F5 S: FD Cycle: 9 
STX : 00       A: 00 X: 00 Y: 00 PC: C5F7 S: FD Cycle: 15 
STX : 10       A: 00 X: 00 Y: 00 PC: C5F9 S: FD Cycle: 24 
STX : 11       A: 00 X: 00 Y: 00 PC: C5FB S: FD Cycle: 33 
JSR : 2D C7    A: 00 X: 00 Y: 00 PC: C5FD S: FD Cycle: 42 
NOP :          A: 00 X: 00 Y: 00 PC: C72D S: FB Cycle: 60 
SEC :          A: 00 X: 00 Y: 00 PC: C72E S: FB Cycle: 66 
BCS : 04       A: 00 X: 00 Y: 00 PC: C72F S: FB Cycle: 72 
NOP :          A: 00 X: 00 Y: 00 PC: C735 S: FB Cycle: 81 
CLC :          A: 00 X: 00 Y: 00 PC: C736 S: FB Cycle: 87 
BCS : 03       A: 00 X: 00 Y: 00 PC: C737 S: FB Cycle: 93 
JMP : 40 C7    A: 00 X: 00 Y: 00 PC: C739 S: FB Cycle: 99 
NOP :          A: 00 X: 00 Y: 00 PC: C740 S: FB Cycle: 108 
SEC :          A: 00 X: 00 Y: 00 PC: C741 S: FB Cycle: 114 
BCC : 03       A: 00 X: 00 Y: 00 PC: C742 S: FB Cycle: 120 
JMP : 4B C7    A: 00 X: 00 Y: 00 PC: C744 S: FB Cycle: 126 
NOP :          A: 00 X: 00 Y: 00 PC: C74B S: FB Cycle: 135 
CLC :          A: 00 X: 00 Y: 00 PC: C74C S: FB Cycle: 141 
BCC : 04       A: 00 X: 00 Y: 00 PC: C74D S: FB Cycle: 147 
NOP :          A: 00 X: 00 Y: 00 PC: C753 S: FB Cycle: 156 
LDA : 00       A: 00 X: 00 Y: 00 PC: C754 S: FB Cycle: 162 
BEQ : 04       A: 00 X: 00 Y: 00 PC: C756 S: FB Cycle: 168 
NOP :          A: 00 X: 00 Y: 00 PC: C75C S: FB Cycle: 177 
LDA : 40       A: 00 X: 00 Y: 00 PC: C75D S: FB Cycle: 183 
BEQ : 03       A: 40 X: 00 Y: 00 PC: C75F S: FB Cycle: 189 
JMP : 68 C7    A: 40 X: 00 Y: 00 PC: C761 S: FB Cycle: 195 
NOP :          A: 40 X: 00 Y: 00 PC: C768 S: FB Cycle: 204 
LDA : 40       A: 40 X: 00 Y: 00 PC: C769 S: FB Cycle: 210 
BNE : 04       A: 40 X: 00 Y: 00 PC: C76B S: FB Cycle: 216 
NOP :          A: 40 X: 00 Y: 00 PC: C771 S: FB Cycle: 225 
LDA : 00       A: 40 X: 00 Y: 00 PC: C772 S: FB Cycle: 231 
BNE : 03       A: 00 X: 00 Y: 00 PC: C774 S: FB Cycle: 237 
JMP : 7D C7    A: 00 X: 00 Y: 00 PC: C776 S: FB Cycle: 243 
NOP :          A: 00 X: 00 Y: 00 PC: C77D S: FB Cycle: 252 
LDA : FF       A: 00 X: 00 Y: 00 PC: C77E S: FB Cycle: 258 
STA : 01       A: FF X: 00 Y: 00 PC: C780 S: FB Cycle: 264 
BIT : 01       A: FF X: 00 Y: 00 PC: C782 S: FB Cycle: 273 
BVS : 04       A: FF X: 00 Y: 00 PC: C784 S: FB Cycle: 282 
NOP :          A: FF X: 00 Y: 00 PC: C78A S: FB Cycle: 291 
BIT : 01       A: FF X: 00 Y: 00 PC: C78B S: FB Cycle: 297 
BVC : 03       A: FF X: 00 Y: 00 PC: C78D S: FB Cycle: 306 
JMP : 96 C7    A: FF X: 00 Y: 00 PC: C78F S: FB Cycle: 312 
NOP :          A: FF X: 00 Y: 00 PC: C796 S: FB Cycle: 321 
LDA : 00       A: FF X: 00 Y: 00 PC: C797 S: FB Cycle: 327 
STA : 01       A: 00 X: 00 Y: 00 PC: C799 S: FB Cycle: 333 
BIT : 01       A: 00 X: 00 Y: 00 PC: C79B S: FB Cycle: 1 
BVC : 04       A: 00 X: 00 Y: 00 PC: C79D S: FB Cycle: 10 
NOP :          A: 00 X: 00 Y: 00 PC: C7A3 S: FB Cycle: 19 
BIT : 01       A: 00 X: 00 Y: 00 PC: C7A4 S: FB Cycle: 25 
BVS : 03       A: 00 X: 00 Y: 00 PC: C7A6 S: FB Cycle: 34 
JMP : AF C7    A: 00 X: 00 Y: 00 PC: C7A8 S: FB Cycle: 40 
NOP :          A: 00 X: 00 Y: 00 PC: C7AF S: FB Cycle: 49 
LDA : 00       A: 00 X: 00 Y: 00 PC: C7B0 S: FB Cycle: 55 
BPL : 04       A: 00 X: 00 Y: 00 PC: C7B2 S: FB Cycle: 61 
NOP :          A: 00 X: 00 Y: 00 PC: C7B8 S: FB Cycle: 70 
LDA : 80       A: 00 X: 00 Y: 00 PC: C7B9 S: FB Cycle: 76 
BPL : 03       A: 80 X: 00 Y: 00 PC: C7BB S: FB Cycle: 82 
JMP : D9 C7    A: 80 X: 00 Y: 00 PC: C7BD S: FB Cycle: 88 
NOP :          A: 80 X: 00 Y: 00 PC: C7D9 S: FB Cycle: 97 
RTS :          A: 80 X: 00 Y: 00 PC: C7DA S: FB Cycle: 103 
JSR : DB C7    A: 80 X: 00 Y: 00 PC: C600 S: FD Cycle: 121 
NOP :          A: 80 X: 00 Y: 00 PC: C7DB S: FB Cycle: 139 
LDA : FF       A: 80 X: 00 Y: 00 PC: C7DC S: FB Cycle: 145 
STA : 01       A: FF X: 00 Y: 00 PC: C7DE S: FB Cycle: 151 
BIT : 01       A: FF X: 00 Y: 00 PC: C7E0 S: FB Cycle: 160 
LDA : 00       A: FF X: 00 Y: 00 PC: C7E2 S: FB Cycle: 169 
SEC :          A: 00 X: 00 Y: 00 PC: C7E4 S: FB Cycle: 175 
SEI :          A: 00 X: 00 Y: 00 PC: C7E5 S: FB Cycle: 181 
SED :          A: 00 X: 00 Y: 00 PC: C7E6 S: FB Cycle: 187 
PHP :          A: 00 X: 00 Y: 00 PC: C7E7 S: FB Cycle: 193 
PLA :          A: 00 X: 00 Y: 00 PC: C7E8 S: FA Cycle: 202 
AND : EF       A: 7F X: 00 Y: 00 PC: C7E9 S: FB Cycle: 214 
CMP : 6F       A: 6F X: 00 Y: 00 PC: C7EB S: FB Cycle: 220 
BEQ : 04       A: 6F X: 00 Y: 00 PC: C7ED S: FB Cycle: 226 
NOP :          A: 6F X: 00 Y: 00 PC: C7F3 S: FB Cycle: 235 
LDA : 40       A: 6F X: 00 Y: 00 PC: C7F4 S: FB Cycle: 241 
STA : 01       A: 40 X: 00 Y: 00 PC: C7F6 S: FB Cycle: 247 
BIT : 01       A: 40 X: 00 Y: 00 PC: C7F8 S: FB Cycle: 256 
CLD :          A: 40 X: 00 Y: 00 PC: C7FA S: FB Cycle: 265 
LDA : 10       A: 40 X: 00 Y: 00 PC: C7FB S: FB Cycle: 271 
CLC :          A: 10 X: 00 Y: 00 PC: C7FD S: FB Cycle: 277 
PHP :          A: 10 X: 00 Y: 00 PC: C7FE S: FB Cycle: 283 
PLA :          A: 10 X: 00 Y: 00 PC: C7FF S: FA Cycle: 292 
AND : EF       A: 74 X: 00 Y: 00 PC: C800 S: FB Cycle: 304 
CMP : 64       A: 64 X: 00 Y: 00 PC: C802 S: FB Cycle: 310 
BEQ : 04       A: 64 X: 00 Y: 00 PC: C804 S: FB Cycle: 316 
NOP :          A: 64 X: 00 Y: 00 PC: C80A S: FB Cycle: 325 
LDA : 80       A: 64 X: 00 Y: 00 PC: C80B S: FB Cycle: 331 
STA : 01       A: 80 X: 00 Y: 00 PC: C80D S: FB Cycle: 337 
